========
Segment 0, number of frames = 41853, viterbi-score = 212271.426068
Printing random variables from (P,C,E)=(1,41852,0) sections
Ptn-0 P: G(0)=1,P1(0)=6,P2(0)=14,Z(0)=0
Ptn-39637 C: G(39637)=2,P1(39637)=6,P2(39637)=14,Z(39637)=0
Ptn-39638 C: G(39638)=2,P1(39638)=6,P2(39638)=14,Z(39638)=0
Ptn-39639 C: G(39639)=2,P1(39639)=6,P2(39639)=14,Z(39639)=0
Ptn-39640 C: G(39640)=2,P1(39640)=6,P2(39640)=14,Z(39640)=0
Ptn-39641 C: G(39641)=2,P1(39641)=6,P2(39641)=14,Z(39641)=0
Ptn-39642 C: G(39642)=2,P1(39642)=6,P2(39642)=14,Z(39642)=0
Ptn-39643 C: G(39643)=2,P1(39643)=6,P2(39643)=14,Z(39643)=0
Ptn-39644 C: G(39644)=2,P1(39644)=6,P2(39644)=14,Z(39644)=0
Ptn-39645 C: G(39645)=2,P1(39645)=6,P2(39645)=14,Z(39645)=0
Ptn-39646 C: G(39646)=1,P1(39646)=6,P2(39646)=14,Z(39646)=0
Ptn-39647 C: G(39647)=1,P1(39647)=6,P2(39647)=14,Z(39647)=0
Ptn-39648 C: G(39648)=1,P1(39648)=6,P2(39648)=14,Z(39648)=0
Ptn-39649 C: G(39649)=1,P1(39649)=6,P2(39649)=14,Z(39649)=0
Ptn-39650 C: G(39650)=1,P1(39650)=6,P2(39650)=14,Z(39650)=0
Ptn-39651 C: G(39651)=1,P1(39651)=6,P2(39651)=14,Z(39651)=0
Ptn-39652 C: G(39652)=1,P1(39652)=6,P2(39652)=14,Z(39652)=0
Ptn-39653 C: G(39653)=1,P1(39653)=6,P2(39653)=14,Z(39653)=0
Ptn-39654 C: G(39654)=1,P1(39654)=6,P2(39654)=14,Z(39654)=0
Ptn-39655 C: G(39655)=1,P1(39655)=6,P2(39655)=14,Z(39655)=0
Ptn-39656 C: G(39656)=1,P1(39656)=6,P2(39656)=14,Z(39656)=0
Ptn-39657 C: G(39657)=1,P1(39657)=6,P2(39657)=14,Z(39657)=0
Ptn-39658 C: G(39658)=1,P1(39658)=6,P2(39658)=14,Z(39658)=0
Ptn-39659 C: G(39659)=1,P1(39659)=6,P2(39659)=14,Z(39659)=0
Ptn-39660 C: G(39660)=1,P1(39660)=6,P2(39660)=14,Z(39660)=0
Ptn-39661 C: G(39661)=1,P1(39661)=6,P2(39661)=14,Z(39661)=0
Ptn-39662 C: G(39662)=1,P1(39662)=6,P2(39662)=14,Z(39662)=0
Ptn-39663 C: G(39663)=1,P1(39663)=6,P2(39663)=14,Z(39663)=0
Ptn-39664 C: G(39664)=1,P1(39664)=6,P2(39664)=14,Z(39664)=0
Ptn-39665 C: G(39665)=1,P1(39665)=6,P2(39665)=14,Z(39665)=0
Ptn-39666 C: G(39666)=1,P1(39666)=6,P2(39666)=14,Z(39666)=0
Ptn-39667 C: G(39667)=1,P1(39667)=6,P2(39667)=14,Z(39667)=0
Ptn-39668 C: G(39668)=1,P1(39668)=6,P2(39668)=14,Z(39668)=0
Ptn-39669 C: G(39669)=1,P1(39669)=6,P2(39669)=14,Z(39669)=0
Ptn-39670 C: G(39670)=1,P1(39670)=6,P2(39670)=14,Z(39670)=0
Ptn-39671 C: G(39671)=1,P1(39671)=6,P2(39671)=14,Z(39671)=0
Ptn-39672 C: G(39672)=1,P1(39672)=6,P2(39672)=14,Z(39672)=0
Ptn-39673 C: G(39673)=1,P1(39673)=6,P2(39673)=14,Z(39673)=0
Ptn-39674 C: G(39674)=1,P1(39674)=6,P2(39674)=14,Z(39674)=0
Ptn-39675 C: G(39675)=1,P1(39675)=6,P2(39675)=14,Z(39675)=0
Ptn-39676 C: G(39676)=1,P1(39676)=6,P2(39676)=14,Z(39676)=0
Ptn-39677 C: G(39677)=1,P1(39677)=6,P2(39677)=14,Z(39677)=0
Ptn-39678 C: G(39678)=1,P1(39678)=6,P2(39678)=14,Z(39678)=0
Ptn-39679 C: G(39679)=1,P1(39679)=6,P2(39679)=14,Z(39679)=0
Ptn-39680 C: G(39680)=1,P1(39680)=6,P2(39680)=14,Z(39680)=0
Ptn-39681 C: G(39681)=1,P1(39681)=6,P2(39681)=14,Z(39681)=0
Ptn-39682 C: G(39682)=1,P1(39682)=6,P2(39682)=14,Z(39682)=0
Ptn-39683 C: G(39683)=1,P1(39683)=6,P2(39683)=14,Z(39683)=0
Ptn-39684 C: G(39684)=1,P1(39684)=6,P2(39684)=14,Z(39684)=0
Ptn-39685 C: G(39685)=1,P1(39685)=6,P2(39685)=14,Z(39685)=0
Ptn-39686 C: G(39686)=1,P1(39686)=6,P2(39686)=14,Z(39686)=0
Ptn-39687 C: G(39687)=1,P1(39687)=6,P2(39687)=14,Z(39687)=0
Ptn-39688 C: G(39688)=1,P1(39688)=6,P2(39688)=14,Z(39688)=0
Ptn-39689 C: G(39689)=1,P1(39689)=6,P2(39689)=14,Z(39689)=0
Ptn-39690 C: G(39690)=1,P1(39690)=6,P2(39690)=14,Z(39690)=0
Ptn-39691 C: G(39691)=1,P1(39691)=6,P2(39691)=14,Z(39691)=0
Ptn-39692 C: G(39692)=1,P1(39692)=6,P2(39692)=14,Z(39692)=0
Ptn-39693 C: G(39693)=1,P1(39693)=6,P2(39693)=14,Z(39693)=0
Ptn-39694 C: G(39694)=1,P1(39694)=6,P2(39694)=14,Z(39694)=0
Ptn-39695 C: G(39695)=1,P1(39695)=6,P2(39695)=14,Z(39695)=0
Ptn-39696 C: G(39696)=1,P1(39696)=6,P2(39696)=14,Z(39696)=0
Ptn-39697 C: G(39697)=1,P1(39697)=6,P2(39697)=14,Z(39697)=0
Ptn-39698 C: G(39698)=1,P1(39698)=6,P2(39698)=14,Z(39698)=0
Ptn-39699 C: G(39699)=1,P1(39699)=6,P2(39699)=14,Z(39699)=0
Ptn-39700 C: G(39700)=1,P1(39700)=6,P2(39700)=14,Z(39700)=0
Ptn-39701 C: G(39701)=1,P1(39701)=6,P2(39701)=14,Z(39701)=0
Ptn-39702 C: G(39702)=1,P1(39702)=6,P2(39702)=14,Z(39702)=0
Ptn-39703 C: G(39703)=1,P1(39703)=6,P2(39703)=14,Z(39703)=0
Ptn-39704 C: G(39704)=1,P1(39704)=6,P2(39704)=14,Z(39704)=0
Ptn-39705 C: G(39705)=1,P1(39705)=6,P2(39705)=14,Z(39705)=0
Ptn-39706 C: G(39706)=1,P1(39706)=6,P2(39706)=14,Z(39706)=0
Ptn-39707 C: G(39707)=1,P1(39707)=6,P2(39707)=14,Z(39707)=0
Ptn-39708 C: G(39708)=1,P1(39708)=6,P2(39708)=14,Z(39708)=0
Ptn-39709 C: G(39709)=1,P1(39709)=6,P2(39709)=14,Z(39709)=0
Ptn-39710 C: G(39710)=1,P1(39710)=6,P2(39710)=14,Z(39710)=0
Ptn-39711 C: G(39711)=1,P1(39711)=6,P2(39711)=14,Z(39711)=0
Ptn-39712 C: G(39712)=1,P1(39712)=6,P2(39712)=14,Z(39712)=0
Ptn-39713 C: G(39713)=1,P1(39713)=6,P2(39713)=14,Z(39713)=0
Ptn-39714 C: G(39714)=1,P1(39714)=6,P2(39714)=14,Z(39714)=0
Ptn-39715 C: G(39715)=1,P1(39715)=6,P2(39715)=14,Z(39715)=0
Ptn-39716 C: G(39716)=1,P1(39716)=6,P2(39716)=14,Z(39716)=0
Ptn-39717 C: G(39717)=1,P1(39717)=6,P2(39717)=14,Z(39717)=0
Ptn-39718 C: G(39718)=1,P1(39718)=6,P2(39718)=14,Z(39718)=0
Ptn-39719 C: G(39719)=1,P1(39719)=6,P2(39719)=14,Z(39719)=0
Ptn-39720 C: G(39720)=1,P1(39720)=6,P2(39720)=14,Z(39720)=0
Ptn-39721 C: G(39721)=1,P1(39721)=6,P2(39721)=14,Z(39721)=0
Ptn-39722 C: G(39722)=1,P1(39722)=6,P2(39722)=14,Z(39722)=0
Ptn-39723 C: G(39723)=1,P1(39723)=6,P2(39723)=14,Z(39723)=0
Ptn-39724 C: G(39724)=1,P1(39724)=6,P2(39724)=14,Z(39724)=0
Ptn-39725 C: G(39725)=1,P1(39725)=6,P2(39725)=14,Z(39725)=0
Ptn-39726 C: G(39726)=1,P1(39726)=6,P2(39726)=14,Z(39726)=0
Ptn-39727 C: G(39727)=1,P1(39727)=6,P2(39727)=14,Z(39727)=0
Ptn-39728 C: G(39728)=1,P1(39728)=6,P2(39728)=14,Z(39728)=0
Ptn-39729 C: G(39729)=1,P1(39729)=6,P2(39729)=14,Z(39729)=0
Ptn-39730 C: G(39730)=1,P1(39730)=6,P2(39730)=14,Z(39730)=0
Ptn-39731 C: G(39731)=1,P1(39731)=6,P2(39731)=14,Z(39731)=0
Ptn-39732 C: G(39732)=1,P1(39732)=6,P2(39732)=14,Z(39732)=0
Ptn-39733 C: G(39733)=1,P1(39733)=6,P2(39733)=14,Z(39733)=0
Ptn-39734 C: G(39734)=1,P1(39734)=6,P2(39734)=14,Z(39734)=0
Ptn-39735 C: G(39735)=1,P1(39735)=6,P2(39735)=14,Z(39735)=0
Ptn-39736 C: G(39736)=1,P1(39736)=6,P2(39736)=14,Z(39736)=0
Ptn-39737 C: G(39737)=1,P1(39737)=6,P2(39737)=14,Z(39737)=0
Ptn-39738 C: G(39738)=1,P1(39738)=6,P2(39738)=14,Z(39738)=0
Ptn-39739 C: G(39739)=1,P1(39739)=6,P2(39739)=14,Z(39739)=0
Ptn-39740 C: G(39740)=1,P1(39740)=6,P2(39740)=14,Z(39740)=0
Ptn-39741 C: G(39741)=1,P1(39741)=6,P2(39741)=14,Z(39741)=0
Ptn-39742 C: G(39742)=1,P1(39742)=6,P2(39742)=14,Z(39742)=0
Ptn-39743 C: G(39743)=1,P1(39743)=6,P2(39743)=14,Z(39743)=0
Ptn-39744 C: G(39744)=3,P1(39744)=6,P2(39744)=14,Z(39744)=0
Ptn-39745 C: G(39745)=3,P1(39745)=6,P2(39745)=14,Z(39745)=0
Ptn-39746 C: G(39746)=3,P1(39746)=6,P2(39746)=14,Z(39746)=0
Ptn-39747 C: G(39747)=3,P1(39747)=6,P2(39747)=14,Z(39747)=0
Ptn-39748 C: G(39748)=1,P1(39748)=6,P2(39748)=14,Z(39748)=0
Ptn-39749 C: G(39749)=1,P1(39749)=6,P2(39749)=14,Z(39749)=0
Ptn-39750 C: G(39750)=1,P1(39750)=6,P2(39750)=14,Z(39750)=0
Ptn-39751 C: G(39751)=1,P1(39751)=6,P2(39751)=14,Z(39751)=0
Ptn-39752 C: G(39752)=1,P1(39752)=6,P2(39752)=14,Z(39752)=0
Ptn-39753 C: G(39753)=1,P1(39753)=6,P2(39753)=14,Z(39753)=0
Ptn-39754 C: G(39754)=1,P1(39754)=6,P2(39754)=14,Z(39754)=0
Ptn-39755 C: G(39755)=1,P1(39755)=6,P2(39755)=14,Z(39755)=0
Ptn-39756 C: G(39756)=1,P1(39756)=6,P2(39756)=14,Z(39756)=0
Ptn-39757 C: G(39757)=1,P1(39757)=6,P2(39757)=14,Z(39757)=0
Ptn-39758 C: G(39758)=1,P1(39758)=6,P2(39758)=14,Z(39758)=0
Ptn-39759 C: G(39759)=1,P1(39759)=6,P2(39759)=14,Z(39759)=0
Ptn-39760 C: G(39760)=1,P1(39760)=6,P2(39760)=14,Z(39760)=0
Ptn-39761 C: G(39761)=1,P1(39761)=6,P2(39761)=14,Z(39761)=0
Ptn-39762 C: G(39762)=1,P1(39762)=6,P2(39762)=14,Z(39762)=0
Ptn-39763 C: G(39763)=1,P1(39763)=6,P2(39763)=14,Z(39763)=0
Ptn-39764 C: G(39764)=1,P1(39764)=6,P2(39764)=14,Z(39764)=0
Ptn-39765 C: G(39765)=1,P1(39765)=6,P2(39765)=14,Z(39765)=0
Ptn-39766 C: G(39766)=1,P1(39766)=6,P2(39766)=14,Z(39766)=0
Ptn-39767 C: G(39767)=1,P1(39767)=6,P2(39767)=14,Z(39767)=0
Ptn-39768 C: G(39768)=1,P1(39768)=6,P2(39768)=14,Z(39768)=0
Ptn-39769 C: G(39769)=1,P1(39769)=6,P2(39769)=14,Z(39769)=0
Ptn-39770 C: G(39770)=1,P1(39770)=6,P2(39770)=14,Z(39770)=0
Ptn-39771 C: G(39771)=1,P1(39771)=6,P2(39771)=14,Z(39771)=0
Ptn-39772 C: G(39772)=1,P1(39772)=6,P2(39772)=14,Z(39772)=0
Ptn-39773 C: G(39773)=1,P1(39773)=6,P2(39773)=14,Z(39773)=0
Ptn-39774 C: G(39774)=1,P1(39774)=6,P2(39774)=14,Z(39774)=0
Ptn-39775 C: G(39775)=1,P1(39775)=6,P2(39775)=14,Z(39775)=0
Ptn-39776 C: G(39776)=1,P1(39776)=6,P2(39776)=14,Z(39776)=0
Ptn-39777 C: G(39777)=3,P1(39777)=6,P2(39777)=14,Z(39777)=0
Ptn-39778 C: G(39778)=3,P1(39778)=6,P2(39778)=14,Z(39778)=0
Ptn-39779 C: G(39779)=3,P1(39779)=6,P2(39779)=14,Z(39779)=0
Ptn-39780 C: G(39780)=3,P1(39780)=6,P2(39780)=14,Z(39780)=0
Ptn-39781 C: G(39781)=3,P1(39781)=6,P2(39781)=14,Z(39781)=0
Ptn-39782 C: G(39782)=3,P1(39782)=6,P2(39782)=14,Z(39782)=0
Ptn-39783 C: G(39783)=3,P1(39783)=6,P2(39783)=14,Z(39783)=0
Ptn-39784 C: G(39784)=3,P1(39784)=6,P2(39784)=14,Z(39784)=0
Ptn-39785 C: G(39785)=3,P1(39785)=6,P2(39785)=14,Z(39785)=0
Ptn-39786 C: G(39786)=3,P1(39786)=6,P2(39786)=14,Z(39786)=0
Ptn-39787 C: G(39787)=3,P1(39787)=6,P2(39787)=14,Z(39787)=0
Ptn-39788 C: G(39788)=3,P1(39788)=6,P2(39788)=14,Z(39788)=0
Ptn-39789 C: G(39789)=3,P1(39789)=6,P2(39789)=14,Z(39789)=0
Ptn-39790 C: G(39790)=3,P1(39790)=6,P2(39790)=14,Z(39790)=0
Ptn-39791 C: G(39791)=3,P1(39791)=6,P2(39791)=14,Z(39791)=0
Ptn-39792 C: G(39792)=3,P1(39792)=6,P2(39792)=14,Z(39792)=0
Ptn-39793 C: G(39793)=3,P1(39793)=6,P2(39793)=14,Z(39793)=0
Ptn-39794 C: G(39794)=3,P1(39794)=6,P2(39794)=14,Z(39794)=0
Ptn-39795 C: G(39795)=1,P1(39795)=6,P2(39795)=14,Z(39795)=0
Ptn-39796 C: G(39796)=1,P1(39796)=6,P2(39796)=14,Z(39796)=0
Ptn-39797 C: G(39797)=3,P1(39797)=6,P2(39797)=14,Z(39797)=0
Ptn-39798 C: G(39798)=3,P1(39798)=6,P2(39798)=14,Z(39798)=0
Ptn-39799 C: G(39799)=1,P1(39799)=6,P2(39799)=14,Z(39799)=0
Ptn-39800 C: G(39800)=1,P1(39800)=6,P2(39800)=14,Z(39800)=0
Ptn-39801 C: G(39801)=1,P1(39801)=6,P2(39801)=14,Z(39801)=0
Ptn-39802 C: G(39802)=1,P1(39802)=6,P2(39802)=14,Z(39802)=0
Ptn-39803 C: G(39803)=1,P1(39803)=6,P2(39803)=14,Z(39803)=0
Ptn-39804 C: G(39804)=1,P1(39804)=6,P2(39804)=14,Z(39804)=0
Ptn-39805 C: G(39805)=1,P1(39805)=6,P2(39805)=14,Z(39805)=0
Ptn-39806 C: G(39806)=1,P1(39806)=6,P2(39806)=14,Z(39806)=0
Ptn-39807 C: G(39807)=1,P1(39807)=6,P2(39807)=14,Z(39807)=0
Ptn-39808 C: G(39808)=1,P1(39808)=6,P2(39808)=14,Z(39808)=0
Ptn-39809 C: G(39809)=1,P1(39809)=6,P2(39809)=14,Z(39809)=0
Ptn-39810 C: G(39810)=1,P1(39810)=6,P2(39810)=14,Z(39810)=0
Ptn-39811 C: G(39811)=1,P1(39811)=6,P2(39811)=14,Z(39811)=0
Ptn-39812 C: G(39812)=1,P1(39812)=6,P2(39812)=14,Z(39812)=0
Ptn-39813 C: G(39813)=1,P1(39813)=6,P2(39813)=14,Z(39813)=0
Ptn-39814 C: G(39814)=1,P1(39814)=6,P2(39814)=14,Z(39814)=0
Ptn-39815 C: G(39815)=1,P1(39815)=6,P2(39815)=14,Z(39815)=0
Ptn-39816 C: G(39816)=1,P1(39816)=6,P2(39816)=14,Z(39816)=0
Ptn-39817 C: G(39817)=1,P1(39817)=6,P2(39817)=14,Z(39817)=0
Ptn-39818 C: G(39818)=1,P1(39818)=6,P2(39818)=14,Z(39818)=0
Ptn-39819 C: G(39819)=1,P1(39819)=6,P2(39819)=14,Z(39819)=0
Ptn-39820 C: G(39820)=1,P1(39820)=6,P2(39820)=14,Z(39820)=0
Ptn-39821 C: G(39821)=1,P1(39821)=6,P2(39821)=14,Z(39821)=0
Ptn-39822 C: G(39822)=1,P1(39822)=6,P2(39822)=14,Z(39822)=0
Ptn-39823 C: G(39823)=1,P1(39823)=6,P2(39823)=14,Z(39823)=0
Ptn-39824 C: G(39824)=1,P1(39824)=6,P2(39824)=14,Z(39824)=0
Ptn-39825 C: G(39825)=1,P1(39825)=6,P2(39825)=14,Z(39825)=0
Ptn-39826 C: G(39826)=1,P1(39826)=6,P2(39826)=14,Z(39826)=0
Ptn-39827 C: G(39827)=1,P1(39827)=6,P2(39827)=14,Z(39827)=0
Ptn-39828 C: G(39828)=1,P1(39828)=6,P2(39828)=14,Z(39828)=0
Ptn-39829 C: G(39829)=1,P1(39829)=6,P2(39829)=14,Z(39829)=0
Ptn-39830 C: G(39830)=1,P1(39830)=6,P2(39830)=14,Z(39830)=0
Ptn-39831 C: G(39831)=1,P1(39831)=6,P2(39831)=14,Z(39831)=0
Ptn-39832 C: G(39832)=1,P1(39832)=6,P2(39832)=14,Z(39832)=0
Ptn-39833 C: G(39833)=1,P1(39833)=6,P2(39833)=14,Z(39833)=0
Ptn-39834 C: G(39834)=1,P1(39834)=6,P2(39834)=14,Z(39834)=0
Ptn-39835 C: G(39835)=1,P1(39835)=6,P2(39835)=14,Z(39835)=0
Ptn-39836 C: G(39836)=1,P1(39836)=6,P2(39836)=14,Z(39836)=0
Ptn-39837 C: G(39837)=1,P1(39837)=6,P2(39837)=14,Z(39837)=0
Ptn-39838 C: G(39838)=1,P1(39838)=6,P2(39838)=14,Z(39838)=0
Ptn-39839 C: G(39839)=1,P1(39839)=6,P2(39839)=14,Z(39839)=0
Ptn-39840 C: G(39840)=1,P1(39840)=6,P2(39840)=14,Z(39840)=0
Ptn-39841 C: G(39841)=1,P1(39841)=6,P2(39841)=14,Z(39841)=0
Ptn-39842 C: G(39842)=1,P1(39842)=6,P2(39842)=14,Z(39842)=0
Ptn-39843 C: G(39843)=1,P1(39843)=6,P2(39843)=14,Z(39843)=0
Ptn-39844 C: G(39844)=1,P1(39844)=6,P2(39844)=14,Z(39844)=0
Ptn-39845 C: G(39845)=1,P1(39845)=6,P2(39845)=14,Z(39845)=0
Ptn-39846 C: G(39846)=1,P1(39846)=6,P2(39846)=14,Z(39846)=0
Ptn-39847 C: G(39847)=1,P1(39847)=6,P2(39847)=14,Z(39847)=0
Ptn-39848 C: G(39848)=1,P1(39848)=6,P2(39848)=14,Z(39848)=1
Ptn-39849 C: G(39849)=1,P1(39849)=6,P2(39849)=14,Z(39849)=1
Ptn-39850 C: G(39850)=1,P1(39850)=6,P2(39850)=14,Z(39850)=1
Ptn-39851 C: G(39851)=1,P1(39851)=6,P2(39851)=14,Z(39851)=1
Ptn-39852 C: G(39852)=1,P1(39852)=6,P2(39852)=14,Z(39852)=1
Ptn-39853 C: G(39853)=1,P1(39853)=6,P2(39853)=14,Z(39853)=1
Ptn-39854 C: G(39854)=1,P1(39854)=6,P2(39854)=14,Z(39854)=1
Ptn-39855 C: G(39855)=1,P1(39855)=6,P2(39855)=14,Z(39855)=1
Ptn-39856 C: G(39856)=1,P1(39856)=6,P2(39856)=14,Z(39856)=1
Ptn-39857 C: G(39857)=1,P1(39857)=6,P2(39857)=14,Z(39857)=1
Ptn-39858 C: G(39858)=1,P1(39858)=6,P2(39858)=14,Z(39858)=1
Ptn-39859 C: G(39859)=1,P1(39859)=6,P2(39859)=14,Z(39859)=1
Ptn-39860 C: G(39860)=1,P1(39860)=6,P2(39860)=14,Z(39860)=1
Ptn-39861 C: G(39861)=1,P1(39861)=6,P2(39861)=14,Z(39861)=1
Ptn-39862 C: G(39862)=1,P1(39862)=6,P2(39862)=14,Z(39862)=1
Ptn-39863 C: G(39863)=1,P1(39863)=6,P2(39863)=14,Z(39863)=1
Ptn-39864 C: G(39864)=1,P1(39864)=6,P2(39864)=14,Z(39864)=1
Ptn-39865 C: G(39865)=1,P1(39865)=6,P2(39865)=14,Z(39865)=1
Ptn-39866 C: G(39866)=1,P1(39866)=6,P2(39866)=14,Z(39866)=1
Ptn-39867 C: G(39867)=1,P1(39867)=6,P2(39867)=14,Z(39867)=1
Ptn-39868 C: G(39868)=1,P1(39868)=6,P2(39868)=14,Z(39868)=1
Ptn-39869 C: G(39869)=1,P1(39869)=6,P2(39869)=14,Z(39869)=1
Ptn-39870 C: G(39870)=1,P1(39870)=6,P2(39870)=14,Z(39870)=1
Ptn-39871 C: G(39871)=1,P1(39871)=6,P2(39871)=14,Z(39871)=1
Ptn-39872 C: G(39872)=1,P1(39872)=6,P2(39872)=14,Z(39872)=1
Ptn-39873 C: G(39873)=1,P1(39873)=6,P2(39873)=14,Z(39873)=1
Ptn-39874 C: G(39874)=1,P1(39874)=6,P2(39874)=14,Z(39874)=1
Ptn-39875 C: G(39875)=1,P1(39875)=6,P2(39875)=14,Z(39875)=1
Ptn-39876 C: G(39876)=1,P1(39876)=6,P2(39876)=14,Z(39876)=1
Ptn-39877 C: G(39877)=1,P1(39877)=6,P2(39877)=14,Z(39877)=1
Ptn-39878 C: G(39878)=1,P1(39878)=6,P2(39878)=14,Z(39878)=1
Ptn-39879 C: G(39879)=1,P1(39879)=6,P2(39879)=14,Z(39879)=1
Ptn-39880 C: G(39880)=1,P1(39880)=6,P2(39880)=14,Z(39880)=1
Ptn-39881 C: G(39881)=1,P1(39881)=6,P2(39881)=14,Z(39881)=1
Ptn-39882 C: G(39882)=1,P1(39882)=6,P2(39882)=14,Z(39882)=1
Ptn-39883 C: G(39883)=1,P1(39883)=6,P2(39883)=14,Z(39883)=1
Ptn-39884 C: G(39884)=1,P1(39884)=6,P2(39884)=14,Z(39884)=1
Ptn-39885 C: G(39885)=1,P1(39885)=6,P2(39885)=14,Z(39885)=1
Ptn-39886 C: G(39886)=1,P1(39886)=6,P2(39886)=14,Z(39886)=1
Ptn-39887 C: G(39887)=1,P1(39887)=6,P2(39887)=14,Z(39887)=1
Ptn-39888 C: G(39888)=1,P1(39888)=6,P2(39888)=14,Z(39888)=1
Ptn-39889 C: G(39889)=1,P1(39889)=6,P2(39889)=14,Z(39889)=1
Ptn-39890 C: G(39890)=3,P1(39890)=6,P2(39890)=14,Z(39890)=1
Ptn-39891 C: G(39891)=3,P1(39891)=6,P2(39891)=14,Z(39891)=1
Ptn-39892 C: G(39892)=3,P1(39892)=6,P2(39892)=14,Z(39892)=1
Ptn-39893 C: G(39893)=3,P1(39893)=6,P2(39893)=14,Z(39893)=1
Ptn-39894 C: G(39894)=1,P1(39894)=6,P2(39894)=14,Z(39894)=1
Ptn-39895 C: G(39895)=1,P1(39895)=6,P2(39895)=14,Z(39895)=1
Ptn-39896 C: G(39896)=1,P1(39896)=6,P2(39896)=14,Z(39896)=1
Ptn-39897 C: G(39897)=1,P1(39897)=6,P2(39897)=14,Z(39897)=1
Ptn-39898 C: G(39898)=1,P1(39898)=6,P2(39898)=14,Z(39898)=1
Ptn-39899 C: G(39899)=1,P1(39899)=6,P2(39899)=14,Z(39899)=1
Ptn-39900 C: G(39900)=1,P1(39900)=6,P2(39900)=14,Z(39900)=1
Ptn-39901 C: G(39901)=1,P1(39901)=6,P2(39901)=14,Z(39901)=1
Ptn-39902 C: G(39902)=1,P1(39902)=6,P2(39902)=14,Z(39902)=1
Ptn-39903 C: G(39903)=1,P1(39903)=6,P2(39903)=14,Z(39903)=1
Ptn-39904 C: G(39904)=1,P1(39904)=6,P2(39904)=14,Z(39904)=1
Ptn-39905 C: G(39905)=1,P1(39905)=6,P2(39905)=14,Z(39905)=1
Ptn-39906 C: G(39906)=1,P1(39906)=6,P2(39906)=14,Z(39906)=1
Ptn-39907 C: G(39907)=1,P1(39907)=6,P2(39907)=14,Z(39907)=1
Ptn-39908 C: G(39908)=1,P1(39908)=6,P2(39908)=14,Z(39908)=1
Ptn-39909 C: G(39909)=1,P1(39909)=6,P2(39909)=14,Z(39909)=1
Ptn-39910 C: G(39910)=1,P1(39910)=6,P2(39910)=14,Z(39910)=1
Ptn-39911 C: G(39911)=1,P1(39911)=6,P2(39911)=14,Z(39911)=1
Ptn-39912 C: G(39912)=1,P1(39912)=6,P2(39912)=14,Z(39912)=1
Ptn-39913 C: G(39913)=1,P1(39913)=6,P2(39913)=14,Z(39913)=1
Ptn-39914 C: G(39914)=1,P1(39914)=6,P2(39914)=14,Z(39914)=1
Ptn-39915 C: G(39915)=1,P1(39915)=6,P2(39915)=14,Z(39915)=1
Ptn-39916 C: G(39916)=1,P1(39916)=6,P2(39916)=14,Z(39916)=1
Ptn-39917 C: G(39917)=1,P1(39917)=6,P2(39917)=14,Z(39917)=1
Ptn-39918 C: G(39918)=1,P1(39918)=6,P2(39918)=14,Z(39918)=1
Ptn-39919 C: G(39919)=1,P1(39919)=6,P2(39919)=14,Z(39919)=1
Ptn-39920 C: G(39920)=1,P1(39920)=6,P2(39920)=14,Z(39920)=1
Ptn-39921 C: G(39921)=1,P1(39921)=6,P2(39921)=14,Z(39921)=1
Ptn-39922 C: G(39922)=1,P1(39922)=6,P2(39922)=14,Z(39922)=1
Ptn-39923 C: G(39923)=1,P1(39923)=6,P2(39923)=14,Z(39923)=1
Ptn-39924 C: G(39924)=1,P1(39924)=6,P2(39924)=14,Z(39924)=1
Ptn-39925 C: G(39925)=1,P1(39925)=6,P2(39925)=14,Z(39925)=1
Ptn-39926 C: G(39926)=1,P1(39926)=6,P2(39926)=14,Z(39926)=1
Ptn-39927 C: G(39927)=1,P1(39927)=6,P2(39927)=14,Z(39927)=1
Ptn-39928 C: G(39928)=1,P1(39928)=6,P2(39928)=14,Z(39928)=1
Ptn-39929 C: G(39929)=1,P1(39929)=6,P2(39929)=14,Z(39929)=1
Ptn-39930 C: G(39930)=1,P1(39930)=6,P2(39930)=14,Z(39930)=1
Ptn-39931 C: G(39931)=1,P1(39931)=6,P2(39931)=14,Z(39931)=1
Ptn-39932 C: G(39932)=1,P1(39932)=6,P2(39932)=14,Z(39932)=1
Ptn-39933 C: G(39933)=1,P1(39933)=6,P2(39933)=14,Z(39933)=1
Ptn-39934 C: G(39934)=1,P1(39934)=6,P2(39934)=14,Z(39934)=1
Ptn-39935 C: G(39935)=1,P1(39935)=6,P2(39935)=14,Z(39935)=1
Ptn-39936 C: G(39936)=1,P1(39936)=6,P2(39936)=14,Z(39936)=1
Ptn-39937 C: G(39937)=1,P1(39937)=6,P2(39937)=14,Z(39937)=1
Ptn-39938 C: G(39938)=1,P1(39938)=6,P2(39938)=14,Z(39938)=1
Ptn-39939 C: G(39939)=1,P1(39939)=6,P2(39939)=14,Z(39939)=1
Ptn-39940 C: G(39940)=1,P1(39940)=6,P2(39940)=14,Z(39940)=1
Ptn-39941 C: G(39941)=1,P1(39941)=6,P2(39941)=14,Z(39941)=1
Ptn-39942 C: G(39942)=1,P1(39942)=6,P2(39942)=14,Z(39942)=1
Ptn-39943 C: G(39943)=1,P1(39943)=6,P2(39943)=14,Z(39943)=1
Ptn-39944 C: G(39944)=1,P1(39944)=6,P2(39944)=14,Z(39944)=1
