========
Segment 0, number of frames = 41853, viterbi-score = 332543.856961
Printing random variables from (P,C,E)=(1,41852,0) sections
Ptn-0 P: G(0)=1,Z(0)=1
Ptn-38632 C: G(38632)=1,Z(38632)=3
Ptn-38633 C: G(38633)=1,Z(38633)=3
Ptn-38634 C: G(38634)=1,Z(38634)=3
Ptn-38635 C: G(38635)=1,Z(38635)=3
Ptn-38636 C: G(38636)=1,Z(38636)=3
Ptn-38637 C: G(38637)=1,Z(38637)=4
Ptn-38638 C: G(38638)=1,Z(38638)=4
Ptn-38639 C: G(38639)=1,Z(38639)=4
Ptn-38640 C: G(38640)=1,Z(38640)=4
Ptn-38641 C: G(38641)=2,Z(38641)=4
Ptn-38642 C: G(38642)=2,Z(38642)=4
Ptn-38643 C: G(38643)=2,Z(38643)=4
Ptn-38644 C: G(38644)=2,Z(38644)=4
Ptn-38645 C: G(38645)=2,Z(38645)=4
Ptn-38646 C: G(38646)=2,Z(38646)=4
Ptn-38647 C: G(38647)=2,Z(38647)=4
Ptn-38648 C: G(38648)=2,Z(38648)=4
Ptn-38649 C: G(38649)=2,Z(38649)=4
Ptn-38650 C: G(38650)=2,Z(38650)=4
Ptn-38651 C: G(38651)=2,Z(38651)=4
Ptn-38652 C: G(38652)=2,Z(38652)=4
Ptn-38653 C: G(38653)=2,Z(38653)=4
Ptn-38654 C: G(38654)=2,Z(38654)=4
Ptn-38655 C: G(38655)=2,Z(38655)=4
Ptn-38656 C: G(38656)=2,Z(38656)=4
Ptn-38657 C: G(38657)=2,Z(38657)=4
Ptn-38658 C: G(38658)=2,Z(38658)=4
Ptn-38659 C: G(38659)=2,Z(38659)=4
Ptn-38660 C: G(38660)=2,Z(38660)=4
Ptn-38661 C: G(38661)=2,Z(38661)=4
Ptn-38662 C: G(38662)=2,Z(38662)=4
Ptn-38663 C: G(38663)=2,Z(38663)=4
Ptn-38664 C: G(38664)=4,Z(38664)=4
Ptn-38665 C: G(38665)=4,Z(38665)=4
Ptn-38666 C: G(38666)=4,Z(38666)=4
Ptn-38667 C: G(38667)=4,Z(38667)=4
Ptn-38668 C: G(38668)=4,Z(38668)=4
Ptn-38669 C: G(38669)=4,Z(38669)=4
Ptn-38670 C: G(38670)=4,Z(38670)=4
Ptn-38671 C: G(38671)=4,Z(38671)=4
Ptn-38672 C: G(38672)=4,Z(38672)=4
Ptn-38673 C: G(38673)=4,Z(38673)=4
Ptn-38674 C: G(38674)=1,Z(38674)=4
Ptn-38675 C: G(38675)=1,Z(38675)=4
Ptn-38676 C: G(38676)=1,Z(38676)=4
Ptn-38677 C: G(38677)=1,Z(38677)=4
Ptn-38678 C: G(38678)=1,Z(38678)=4
Ptn-38679 C: G(38679)=1,Z(38679)=2
Ptn-38680 C: G(38680)=1,Z(38680)=2
Ptn-38681 C: G(38681)=1,Z(38681)=2
Ptn-38682 C: G(38682)=1,Z(38682)=2
Ptn-38683 C: G(38683)=1,Z(38683)=2
Ptn-38684 C: G(38684)=1,Z(38684)=2
Ptn-38685 C: G(38685)=1,Z(38685)=2
Ptn-38686 C: G(38686)=1,Z(38686)=2
Ptn-38687 C: G(38687)=1,Z(38687)=2
Ptn-38688 C: G(38688)=2,Z(38688)=2
Ptn-38689 C: G(38689)=2,Z(38689)=2
Ptn-38690 C: G(38690)=2,Z(38690)=2
Ptn-38691 C: G(38691)=2,Z(38691)=2
Ptn-38692 C: G(38692)=2,Z(38692)=2
Ptn-38693 C: G(38693)=2,Z(38693)=2
Ptn-38694 C: G(38694)=2,Z(38694)=2
Ptn-38695 C: G(38695)=2,Z(38695)=2
Ptn-38696 C: G(38696)=2,Z(38696)=2
Ptn-38697 C: G(38697)=2,Z(38697)=2
Ptn-38698 C: G(38698)=2,Z(38698)=2
Ptn-38699 C: G(38699)=2,Z(38699)=2
Ptn-38700 C: G(38700)=2,Z(38700)=2
Ptn-38701 C: G(38701)=2,Z(38701)=2
Ptn-38702 C: G(38702)=2,Z(38702)=2
Ptn-38703 C: G(38703)=2,Z(38703)=2
Ptn-38704 C: G(38704)=2,Z(38704)=2
Ptn-38705 C: G(38705)=2,Z(38705)=2
Ptn-38706 C: G(38706)=2,Z(38706)=2
Ptn-38707 C: G(38707)=3,Z(38707)=2
Ptn-38708 C: G(38708)=3,Z(38708)=1
Ptn-38709 C: G(38709)=3,Z(38709)=1
Ptn-38710 C: G(38710)=3,Z(38710)=1
Ptn-38711 C: G(38711)=2,Z(38711)=1
Ptn-38712 C: G(38712)=2,Z(38712)=1
Ptn-38713 C: G(38713)=2,Z(38713)=1
Ptn-38714 C: G(38714)=2,Z(38714)=1
Ptn-38715 C: G(38715)=2,Z(38715)=1
Ptn-38716 C: G(38716)=2,Z(38716)=1
Ptn-38717 C: G(38717)=2,Z(38717)=1
Ptn-38718 C: G(38718)=2,Z(38718)=1
Ptn-38719 C: G(38719)=2,Z(38719)=1
Ptn-38720 C: G(38720)=2,Z(38720)=1
Ptn-38721 C: G(38721)=2,Z(38721)=1
Ptn-38722 C: G(38722)=2,Z(38722)=1
Ptn-38723 C: G(38723)=2,Z(38723)=1
Ptn-38724 C: G(38724)=2,Z(38724)=1
Ptn-38725 C: G(38725)=2,Z(38725)=1
Ptn-38726 C: G(38726)=1,Z(38726)=1
Ptn-38727 C: G(38727)=1,Z(38727)=1
Ptn-38728 C: G(38728)=1,Z(38728)=1
Ptn-38729 C: G(38729)=1,Z(38729)=1
Ptn-38730 C: G(38730)=1,Z(38730)=2
Ptn-38731 C: G(38731)=1,Z(38731)=2
Ptn-38732 C: G(38732)=1,Z(38732)=2
Ptn-38733 C: G(38733)=1,Z(38733)=2
Ptn-38734 C: G(38734)=1,Z(38734)=2
Ptn-38735 C: G(38735)=2,Z(38735)=2
Ptn-38736 C: G(38736)=2,Z(38736)=2
Ptn-38737 C: G(38737)=2,Z(38737)=2
Ptn-38738 C: G(38738)=2,Z(38738)=2
Ptn-38739 C: G(38739)=2,Z(38739)=2
Ptn-38740 C: G(38740)=2,Z(38740)=2
Ptn-38741 C: G(38741)=2,Z(38741)=2
Ptn-38742 C: G(38742)=2,Z(38742)=2
Ptn-38743 C: G(38743)=1,Z(38743)=2
Ptn-38744 C: G(38744)=1,Z(38744)=2
Ptn-38745 C: G(38745)=1,Z(38745)=2
Ptn-38746 C: G(38746)=1,Z(38746)=2
Ptn-38747 C: G(38747)=1,Z(38747)=2
Ptn-38748 C: G(38748)=1,Z(38748)=2
Ptn-38749 C: G(38749)=1,Z(38749)=2
Ptn-38750 C: G(38750)=1,Z(38750)=2
Ptn-38751 C: G(38751)=1,Z(38751)=3
Ptn-38752 C: G(38752)=1,Z(38752)=3
Ptn-38753 C: G(38753)=1,Z(38753)=3
Ptn-38754 C: G(38754)=1,Z(38754)=3
Ptn-38755 C: G(38755)=1,Z(38755)=3
Ptn-38756 C: G(38756)=1,Z(38756)=3
Ptn-38757 C: G(38757)=1,Z(38757)=3
Ptn-38758 C: G(38758)=1,Z(38758)=3
Ptn-38759 C: G(38759)=1,Z(38759)=3
Ptn-38760 C: G(38760)=1,Z(38760)=3
Ptn-38761 C: G(38761)=1,Z(38761)=3
Ptn-38762 C: G(38762)=1,Z(38762)=3
Ptn-38763 C: G(38763)=1,Z(38763)=3
Ptn-38764 C: G(38764)=1,Z(38764)=3
Ptn-38765 C: G(38765)=1,Z(38765)=3
Ptn-38766 C: G(38766)=4,Z(38766)=3
Ptn-38767 C: G(38767)=4,Z(38767)=3
Ptn-38768 C: G(38768)=4,Z(38768)=3
Ptn-38769 C: G(38769)=4,Z(38769)=1
Ptn-38770 C: G(38770)=4,Z(38770)=1
Ptn-38771 C: G(38771)=4,Z(38771)=1
Ptn-38772 C: G(38772)=4,Z(38772)=1
Ptn-38773 C: G(38773)=4,Z(38773)=1
Ptn-38774 C: G(38774)=4,Z(38774)=3
Ptn-38775 C: G(38775)=4,Z(38775)=3
Ptn-38776 C: G(38776)=1,Z(38776)=3
Ptn-38777 C: G(38777)=1,Z(38777)=3
Ptn-38778 C: G(38778)=1,Z(38778)=3
Ptn-38779 C: G(38779)=1,Z(38779)=2
Ptn-38780 C: G(38780)=1,Z(38780)=2
Ptn-38781 C: G(38781)=1,Z(38781)=2
Ptn-38782 C: G(38782)=1,Z(38782)=2
Ptn-38783 C: G(38783)=3,Z(38783)=2
Ptn-38784 C: G(38784)=3,Z(38784)=2
Ptn-38785 C: G(38785)=3,Z(38785)=2
Ptn-38786 C: G(38786)=3,Z(38786)=2
Ptn-38787 C: G(38787)=3,Z(38787)=2
Ptn-38788 C: G(38788)=3,Z(38788)=2
Ptn-38789 C: G(38789)=3,Z(38789)=1
Ptn-38790 C: G(38790)=3,Z(38790)=1
Ptn-38791 C: G(38791)=3,Z(38791)=1
Ptn-38792 C: G(38792)=3,Z(38792)=0
Ptn-38793 C: G(38793)=3,Z(38793)=0
Ptn-38794 C: G(38794)=1,Z(38794)=1
Ptn-38795 C: G(38795)=1,Z(38795)=1
Ptn-38796 C: G(38796)=1,Z(38796)=1
Ptn-38797 C: G(38797)=1,Z(38797)=1
Ptn-38798 C: G(38798)=1,Z(38798)=1
Ptn-38799 C: G(38799)=1,Z(38799)=1
Ptn-38800 C: G(38800)=1,Z(38800)=1
Ptn-38801 C: G(38801)=1,Z(38801)=0
Ptn-38802 C: G(38802)=1,Z(38802)=0
Ptn-38803 C: G(38803)=1,Z(38803)=0
Ptn-38804 C: G(38804)=1,Z(38804)=0
Ptn-38805 C: G(38805)=1,Z(38805)=1
Ptn-38806 C: G(38806)=1,Z(38806)=1
Ptn-38807 C: G(38807)=1,Z(38807)=1
Ptn-38808 C: G(38808)=1,Z(38808)=0
Ptn-38809 C: G(38809)=1,Z(38809)=1
Ptn-38810 C: G(38810)=1,Z(38810)=1
Ptn-38811 C: G(38811)=1,Z(38811)=1
Ptn-38812 C: G(38812)=1,Z(38812)=1
Ptn-38813 C: G(38813)=1,Z(38813)=0
Ptn-38814 C: G(38814)=1,Z(38814)=0
Ptn-38815 C: G(38815)=1,Z(38815)=1
Ptn-38816 C: G(38816)=1,Z(38816)=1
Ptn-38817 C: G(38817)=1,Z(38817)=1
Ptn-38818 C: G(38818)=1,Z(38818)=1
Ptn-38819 C: G(38819)=1,Z(38819)=1
Ptn-38820 C: G(38820)=1,Z(38820)=0
Ptn-38821 C: G(38821)=1,Z(38821)=0
Ptn-38822 C: G(38822)=1,Z(38822)=0
Ptn-38823 C: G(38823)=1,Z(38823)=1
Ptn-38824 C: G(38824)=1,Z(38824)=1
Ptn-38825 C: G(38825)=1,Z(38825)=0
Ptn-38826 C: G(38826)=1,Z(38826)=0
Ptn-38827 C: G(38827)=1,Z(38827)=0
Ptn-38828 C: G(38828)=1,Z(38828)=0
Ptn-38829 C: G(38829)=1,Z(38829)=0
Ptn-38830 C: G(38830)=1,Z(38830)=1
Ptn-38831 C: G(38831)=1,Z(38831)=0
Ptn-38832 C: G(38832)=4,Z(38832)=3
Ptn-38833 C: G(38833)=4,Z(38833)=3
Ptn-38834 C: G(38834)=4,Z(38834)=3
Ptn-38835 C: G(38835)=4,Z(38835)=3
Ptn-38836 C: G(38836)=4,Z(38836)=3
Ptn-38837 C: G(38837)=4,Z(38837)=1
Ptn-38838 C: G(38838)=4,Z(38838)=1
Ptn-38839 C: G(38839)=4,Z(38839)=1
Ptn-38840 C: G(38840)=4,Z(38840)=1
Ptn-38841 C: G(38841)=4,Z(38841)=1
Ptn-38842 C: G(38842)=4,Z(38842)=1
Ptn-38843 C: G(38843)=4,Z(38843)=1
Ptn-38844 C: G(38844)=4,Z(38844)=1
Ptn-38845 C: G(38845)=4,Z(38845)=1
Ptn-38846 C: G(38846)=4,Z(38846)=1
Ptn-38847 C: G(38847)=4,Z(38847)=1
Ptn-38848 C: G(38848)=4,Z(38848)=1
Ptn-38849 C: G(38849)=4,Z(38849)=1
Ptn-38850 C: G(38850)=4,Z(38850)=1
Ptn-38851 C: G(38851)=4,Z(38851)=1
Ptn-38852 C: G(38852)=4,Z(38852)=1
Ptn-38853 C: G(38853)=4,Z(38853)=1
Ptn-38854 C: G(38854)=4,Z(38854)=1
Ptn-38855 C: G(38855)=4,Z(38855)=1
Ptn-38856 C: G(38856)=2,Z(38856)=1
Ptn-38857 C: G(38857)=2,Z(38857)=1
Ptn-38858 C: G(38858)=2,Z(38858)=1
Ptn-38859 C: G(38859)=2,Z(38859)=1
Ptn-38860 C: G(38860)=2,Z(38860)=1
Ptn-38861 C: G(38861)=2,Z(38861)=1
Ptn-38862 C: G(38862)=2,Z(38862)=1
Ptn-38863 C: G(38863)=2,Z(38863)=1
Ptn-38864 C: G(38864)=2,Z(38864)=1
Ptn-38865 C: G(38865)=2,Z(38865)=1
Ptn-38866 C: G(38866)=2,Z(38866)=1
Ptn-38867 C: G(38867)=2,Z(38867)=1
Ptn-38868 C: G(38868)=2,Z(38868)=1
Ptn-38869 C: G(38869)=2,Z(38869)=1
Ptn-38870 C: G(38870)=2,Z(38870)=1
Ptn-38871 C: G(38871)=2,Z(38871)=1
Ptn-38872 C: G(38872)=2,Z(38872)=1
Ptn-38873 C: G(38873)=2,Z(38873)=1
Ptn-38874 C: G(38874)=2,Z(38874)=1
Ptn-38875 C: G(38875)=2,Z(38875)=1
Ptn-38876 C: G(38876)=2,Z(38876)=1
Ptn-38877 C: G(38877)=2,Z(38877)=1
Ptn-38878 C: G(38878)=2,Z(38878)=1
Ptn-38879 C: G(38879)=2,Z(38879)=1
Ptn-38880 C: G(38880)=2,Z(38880)=1
Ptn-38881 C: G(38881)=2,Z(38881)=1
Ptn-38882 C: G(38882)=2,Z(38882)=1
Ptn-38883 C: G(38883)=2,Z(38883)=1
Ptn-38884 C: G(38884)=2,Z(38884)=1
Ptn-38885 C: G(38885)=2,Z(38885)=1
Ptn-38886 C: G(38886)=4,Z(38886)=1
Ptn-38887 C: G(38887)=4,Z(38887)=4
Ptn-38888 C: G(38888)=4,Z(38888)=4
Ptn-38889 C: G(38889)=2,Z(38889)=4
Ptn-38890 C: G(38890)=2,Z(38890)=4
Ptn-38891 C: G(38891)=2,Z(38891)=4
Ptn-38892 C: G(38892)=2,Z(38892)=4
Ptn-38893 C: G(38893)=2,Z(38893)=4
Ptn-38894 C: G(38894)=2,Z(38894)=4
Ptn-38895 C: G(38895)=2,Z(38895)=4
Ptn-38896 C: G(38896)=2,Z(38896)=4
Ptn-38897 C: G(38897)=2,Z(38897)=4
Ptn-38898 C: G(38898)=2,Z(38898)=4
Ptn-38899 C: G(38899)=2,Z(38899)=4
Ptn-38900 C: G(38900)=2,Z(38900)=4
Ptn-38901 C: G(38901)=2,Z(38901)=4
Ptn-38902 C: G(38902)=2,Z(38902)=4
Ptn-38903 C: G(38903)=2,Z(38903)=4
Ptn-38904 C: G(38904)=1,Z(38904)=4
Ptn-38905 C: G(38905)=1,Z(38905)=4
Ptn-38906 C: G(38906)=1,Z(38906)=4
Ptn-38907 C: G(38907)=1,Z(38907)=4
Ptn-38908 C: G(38908)=2,Z(38908)=4
Ptn-38909 C: G(38909)=2,Z(38909)=4
Ptn-38910 C: G(38910)=2,Z(38910)=4
Ptn-38911 C: G(38911)=2,Z(38911)=2
Ptn-38912 C: G(38912)=2,Z(38912)=2
Ptn-38913 C: G(38913)=3,Z(38913)=2
Ptn-38914 C: G(38914)=3,Z(38914)=2
Ptn-38915 C: G(38915)=3,Z(38915)=2
Ptn-38916 C: G(38916)=3,Z(38916)=2
Ptn-38917 C: G(38917)=3,Z(38917)=2
Ptn-38918 C: G(38918)=3,Z(38918)=1
Ptn-38919 C: G(38919)=3,Z(38919)=1
Ptn-38920 C: G(38920)=2,Z(38920)=1
Ptn-38921 C: G(38921)=2,Z(38921)=1
Ptn-38922 C: G(38922)=2,Z(38922)=1
Ptn-38923 C: G(38923)=4,Z(38923)=1
Ptn-38924 C: G(38924)=4,Z(38924)=1
Ptn-38925 C: G(38925)=4,Z(38925)=1
Ptn-38926 C: G(38926)=2,Z(38926)=1
Ptn-38927 C: G(38927)=2,Z(38927)=1
Ptn-38928 C: G(38928)=2,Z(38928)=1
Ptn-38929 C: G(38929)=2,Z(38929)=1
Ptn-38930 C: G(38930)=2,Z(38930)=1
Ptn-38931 C: G(38931)=2,Z(38931)=1
Ptn-38932 C: G(38932)=2,Z(38932)=1
Ptn-38933 C: G(38933)=2,Z(38933)=1
Ptn-38934 C: G(38934)=2,Z(38934)=1
Ptn-38935 C: G(38935)=2,Z(38935)=1
Ptn-38936 C: G(38936)=2,Z(38936)=1
Ptn-38937 C: G(38937)=2,Z(38937)=1
Ptn-38938 C: G(38938)=4,Z(38938)=1
Ptn-38939 C: G(38939)=4,Z(38939)=3
Ptn-38940 C: G(38940)=4,Z(38940)=3
Ptn-38941 C: G(38941)=4,Z(38941)=3
Ptn-38942 C: G(38942)=4,Z(38942)=3
Ptn-38943 C: G(38943)=4,Z(38943)=3
Ptn-38944 C: G(38944)=4,Z(38944)=3
Ptn-38945 C: G(38945)=4,Z(38945)=1
Ptn-38946 C: G(38946)=4,Z(38946)=1
Ptn-38947 C: G(38947)=4,Z(38947)=1
Ptn-38948 C: G(38948)=4,Z(38948)=1
Ptn-38949 C: G(38949)=4,Z(38949)=1
Ptn-38950 C: G(38950)=4,Z(38950)=1
Ptn-38951 C: G(38951)=4,Z(38951)=1
Ptn-38952 C: G(38952)=4,Z(38952)=1
Ptn-38953 C: G(38953)=4,Z(38953)=1
Ptn-38954 C: G(38954)=2,Z(38954)=1
Ptn-38955 C: G(38955)=2,Z(38955)=1
Ptn-38956 C: G(38956)=2,Z(38956)=1
Ptn-38957 C: G(38957)=2,Z(38957)=1
Ptn-38958 C: G(38958)=2,Z(38958)=1
Ptn-38959 C: G(38959)=2,Z(38959)=1
Ptn-38960 C: G(38960)=2,Z(38960)=1
Ptn-38961 C: G(38961)=2,Z(38961)=1
Ptn-38962 C: G(38962)=3,Z(38962)=1
Ptn-38963 C: G(38963)=4,Z(38963)=1
Ptn-38964 C: G(38964)=4,Z(38964)=1
Ptn-38965 C: G(38965)=4,Z(38965)=1
Ptn-38966 C: G(38966)=1,Z(38966)=0
Ptn-38967 C: G(38967)=1,Z(38967)=0
Ptn-38968 C: G(38968)=1,Z(38968)=0
Ptn-38969 C: G(38969)=1,Z(38969)=0
Ptn-38970 C: G(38970)=1,Z(38970)=0
Ptn-38971 C: G(38971)=1,Z(38971)=0
Ptn-38972 C: G(38972)=1,Z(38972)=0
Ptn-38973 C: G(38973)=1,Z(38973)=0
Ptn-38974 C: G(38974)=1,Z(38974)=0
Ptn-38975 C: G(38975)=1,Z(38975)=0
Ptn-38976 C: G(38976)=1,Z(38976)=0
Ptn-38977 C: G(38977)=1,Z(38977)=0
Ptn-38978 C: G(38978)=1,Z(38978)=0
Ptn-38979 C: G(38979)=1,Z(38979)=0
Ptn-38980 C: G(38980)=1,Z(38980)=0
Ptn-38981 C: G(38981)=1,Z(38981)=0
Ptn-38982 C: G(38982)=1,Z(38982)=0
Ptn-38983 C: G(38983)=1,Z(38983)=0
Ptn-38984 C: G(38984)=1,Z(38984)=0
Ptn-38985 C: G(38985)=1,Z(38985)=0
Ptn-38986 C: G(38986)=1,Z(38986)=0
Ptn-38987 C: G(38987)=1,Z(38987)=0
Ptn-38988 C: G(38988)=1,Z(38988)=0
Ptn-38989 C: G(38989)=1,Z(38989)=0
Ptn-38990 C: G(38990)=1,Z(38990)=0
Ptn-38991 C: G(38991)=1,Z(38991)=0
Ptn-38992 C: G(38992)=1,Z(38992)=0
Ptn-38993 C: G(38993)=1,Z(38993)=0
Ptn-38994 C: G(38994)=1,Z(38994)=0
Ptn-38995 C: G(38995)=1,Z(38995)=0
Ptn-38996 C: G(38996)=1,Z(38996)=0
Ptn-38997 C: G(38997)=1,Z(38997)=0
Ptn-38998 C: G(38998)=1,Z(38998)=2
Ptn-38999 C: G(38999)=1,Z(38999)=2
Ptn-39000 C: G(39000)=1,Z(39000)=1
Ptn-39001 C: G(39001)=2,Z(39001)=1
Ptn-39002 C: G(39002)=2,Z(39002)=1
Ptn-39003 C: G(39003)=2,Z(39003)=1
Ptn-39004 C: G(39004)=2,Z(39004)=1
Ptn-39005 C: G(39005)=2,Z(39005)=1
Ptn-39006 C: G(39006)=2,Z(39006)=1
Ptn-39007 C: G(39007)=2,Z(39007)=1
Ptn-39008 C: G(39008)=2,Z(39008)=1
Ptn-39009 C: G(39009)=2,Z(39009)=1
Ptn-39010 C: G(39010)=2,Z(39010)=1
Ptn-39011 C: G(39011)=2,Z(39011)=1
Ptn-39012 C: G(39012)=2,Z(39012)=1
Ptn-39013 C: G(39013)=2,Z(39013)=1
Ptn-39014 C: G(39014)=2,Z(39014)=1
Ptn-39015 C: G(39015)=7,Z(39015)=1
Ptn-39016 C: G(39016)=7,Z(39016)=3
Ptn-39017 C: G(39017)=7,Z(39017)=3
Ptn-39018 C: G(39018)=7,Z(39018)=3
Ptn-39019 C: G(39019)=7,Z(39019)=3
Ptn-39020 C: G(39020)=1,Z(39020)=3
Ptn-39021 C: G(39021)=1,Z(39021)=3
Ptn-39022 C: G(39022)=1,Z(39022)=3
Ptn-39023 C: G(39023)=1,Z(39023)=3
Ptn-39024 C: G(39024)=1,Z(39024)=3
Ptn-39025 C: G(39025)=1,Z(39025)=3
Ptn-39026 C: G(39026)=1,Z(39026)=3
Ptn-39027 C: G(39027)=1,Z(39027)=3
Ptn-39028 C: G(39028)=1,Z(39028)=2
Ptn-39029 C: G(39029)=4,Z(39029)=2
Ptn-39030 C: G(39030)=4,Z(39030)=2
Ptn-39031 C: G(39031)=4,Z(39031)=2
Ptn-39032 C: G(39032)=4,Z(39032)=2
Ptn-39033 C: G(39033)=4,Z(39033)=2
Ptn-39034 C: G(39034)=4,Z(39034)=2
Ptn-39035 C: G(39035)=4,Z(39035)=2
Ptn-39036 C: G(39036)=4,Z(39036)=2
Ptn-39037 C: G(39037)=4,Z(39037)=2
Ptn-39038 C: G(39038)=3,Z(39038)=2
Ptn-39039 C: G(39039)=3,Z(39039)=2
Ptn-39040 C: G(39040)=3,Z(39040)=2
Ptn-39041 C: G(39041)=3,Z(39041)=2
Ptn-39042 C: G(39042)=3,Z(39042)=2
Ptn-39043 C: G(39043)=3,Z(39043)=2
Ptn-39044 C: G(39044)=3,Z(39044)=2
Ptn-39045 C: G(39045)=3,Z(39045)=2
Ptn-39046 C: G(39046)=3,Z(39046)=2
Ptn-39047 C: G(39047)=3,Z(39047)=2
Ptn-39048 C: G(39048)=3,Z(39048)=2
Ptn-39049 C: G(39049)=3,Z(39049)=2
Ptn-39050 C: G(39050)=3,Z(39050)=2
Ptn-39051 C: G(39051)=3,Z(39051)=2
Ptn-39052 C: G(39052)=3,Z(39052)=2
Ptn-39053 C: G(39053)=3,Z(39053)=2
Ptn-39054 C: G(39054)=3,Z(39054)=2
Ptn-39055 C: G(39055)=2,Z(39055)=2
Ptn-39056 C: G(39056)=2,Z(39056)=2
Ptn-39057 C: G(39057)=2,Z(39057)=2
Ptn-39058 C: G(39058)=2,Z(39058)=2
Ptn-39059 C: G(39059)=2,Z(39059)=2
Ptn-39060 C: G(39060)=2,Z(39060)=2
Ptn-39061 C: G(39061)=2,Z(39061)=2
Ptn-39062 C: G(39062)=2,Z(39062)=2
Ptn-39063 C: G(39063)=2,Z(39063)=2
Ptn-39064 C: G(39064)=2,Z(39064)=2
Ptn-39065 C: G(39065)=2,Z(39065)=2
Ptn-39066 C: G(39066)=2,Z(39066)=2
Ptn-39067 C: G(39067)=2,Z(39067)=2
Ptn-39068 C: G(39068)=2,Z(39068)=2
Ptn-39069 C: G(39069)=2,Z(39069)=2
Ptn-39070 C: G(39070)=2,Z(39070)=2
Ptn-39071 C: G(39071)=2,Z(39071)=2
Ptn-39072 C: G(39072)=2,Z(39072)=2
Ptn-39073 C: G(39073)=2,Z(39073)=2
Ptn-39074 C: G(39074)=2,Z(39074)=2
Ptn-39075 C: G(39075)=2,Z(39075)=2
Ptn-39076 C: G(39076)=2,Z(39076)=2
Ptn-39077 C: G(39077)=2,Z(39077)=2
Ptn-39078 C: G(39078)=2,Z(39078)=2
Ptn-39079 C: G(39079)=2,Z(39079)=2
Ptn-39080 C: G(39080)=2,Z(39080)=2
Ptn-39081 C: G(39081)=2,Z(39081)=2
Ptn-39082 C: G(39082)=2,Z(39082)=2
Ptn-39083 C: G(39083)=2,Z(39083)=2
Ptn-39084 C: G(39084)=1,Z(39084)=2
Ptn-39085 C: G(39085)=1,Z(39085)=2
Ptn-39086 C: G(39086)=1,Z(39086)=1
Ptn-39087 C: G(39087)=1,Z(39087)=2
Ptn-39088 C: G(39088)=1,Z(39088)=2
Ptn-39089 C: G(39089)=1,Z(39089)=2
Ptn-39090 C: G(39090)=1,Z(39090)=2
Ptn-39091 C: G(39091)=1,Z(39091)=2
Ptn-39092 C: G(39092)=1,Z(39092)=2
Ptn-39093 C: G(39093)=1,Z(39093)=2
Ptn-39094 C: G(39094)=1,Z(39094)=2
Ptn-39095 C: G(39095)=1,Z(39095)=2
Ptn-39096 C: G(39096)=1,Z(39096)=2
Ptn-39097 C: G(39097)=1,Z(39097)=2
Ptn-39098 C: G(39098)=1,Z(39098)=2
Ptn-39099 C: G(39099)=1,Z(39099)=2
Ptn-39100 C: G(39100)=1,Z(39100)=2
Ptn-39101 C: G(39101)=1,Z(39101)=2
Ptn-39102 C: G(39102)=1,Z(39102)=2
Ptn-39103 C: G(39103)=1,Z(39103)=2
Ptn-39104 C: G(39104)=1,Z(39104)=2
Ptn-39105 C: G(39105)=1,Z(39105)=2
Ptn-39106 C: G(39106)=1,Z(39106)=2
Ptn-39107 C: G(39107)=1,Z(39107)=2
Ptn-39108 C: G(39108)=1,Z(39108)=2
Ptn-39109 C: G(39109)=1,Z(39109)=2
Ptn-39110 C: G(39110)=2,Z(39110)=2
Ptn-39111 C: G(39111)=2,Z(39111)=2
Ptn-39112 C: G(39112)=2,Z(39112)=2
Ptn-39113 C: G(39113)=2,Z(39113)=2
Ptn-39114 C: G(39114)=2,Z(39114)=2
Ptn-39115 C: G(39115)=2,Z(39115)=2
Ptn-39116 C: G(39116)=2,Z(39116)=2
Ptn-39117 C: G(39117)=2,Z(39117)=2
Ptn-39118 C: G(39118)=2,Z(39118)=2
Ptn-39119 C: G(39119)=2,Z(39119)=2
Ptn-39120 C: G(39120)=2,Z(39120)=2
Ptn-39121 C: G(39121)=2,Z(39121)=2
Ptn-39122 C: G(39122)=4,Z(39122)=2
Ptn-39123 C: G(39123)=4,Z(39123)=2
Ptn-39124 C: G(39124)=4,Z(39124)=4
Ptn-39125 C: G(39125)=4,Z(39125)=4
Ptn-39126 C: G(39126)=4,Z(39126)=4
Ptn-39127 C: G(39127)=4,Z(39127)=4
Ptn-39128 C: G(39128)=4,Z(39128)=4
Ptn-39129 C: G(39129)=4,Z(39129)=4
Ptn-39130 C: G(39130)=4,Z(39130)=4
Ptn-39131 C: G(39131)=4,Z(39131)=4
Ptn-39132 C: G(39132)=4,Z(39132)=1
Ptn-39133 C: G(39133)=4,Z(39133)=1
Ptn-39134 C: G(39134)=2,Z(39134)=1
Ptn-39135 C: G(39135)=2,Z(39135)=1
Ptn-39136 C: G(39136)=2,Z(39136)=1
Ptn-39137 C: G(39137)=2,Z(39137)=1
Ptn-39138 C: G(39138)=2,Z(39138)=1
Ptn-39139 C: G(39139)=2,Z(39139)=1
Ptn-39140 C: G(39140)=2,Z(39140)=1
Ptn-39141 C: G(39141)=2,Z(39141)=1
Ptn-39142 C: G(39142)=1,Z(39142)=1
Ptn-39143 C: G(39143)=1,Z(39143)=1
Ptn-39144 C: G(39144)=1,Z(39144)=1
Ptn-39145 C: G(39145)=1,Z(39145)=1
Ptn-39146 C: G(39146)=2,Z(39146)=1
